,id,country,capital,flag
0,1,Afghanistan,Kabul,🇦🇫
1,2,Aland Islands,Mariehamn,🇦🇽
2,3,Albania,Tirana,🇦🇱
3,4,Algeria,Algiers,🇩🇿
4,5,American Samoa,Pago Pago,🇦🇸
5,6,Andorra,Andorra la Vella,🇦🇩
6,7,Angola,Luanda,🇦🇴
7,8,Anguilla,The Valley,🇦🇮
8,9,Antarctica,,🇦🇶
9,10,Antigua And Barbuda,St. John's,🇦🇬
10,11,Argentina,Buenos Aires,🇦🇷
11,12,Armenia,Yerevan,🇦🇲
12,13,Aruba,Oranjestad,🇦🇼
13,14,Australia,Canberra,🇦🇺
14,15,Austria,Vienna,🇦🇹
15,16,Azerbaijan,Baku,🇦🇿
16,18,Bahrain,Manama,🇧🇭
17,19,Bangladesh,Dhaka,🇧🇩
18,20,Barbados,Bridgetown,🇧🇧
19,21,Belarus,Minsk,🇧🇾
20,22,Belgium,Brussels,🇧🇪
21,23,Belize,Belmopan,🇧🇿
22,24,Benin,Porto-Novo,🇧🇯
23,25,Bermuda,Hamilton,🇧🇲
24,26,Bhutan,Thimphu,🇧🇹
25,27,Bolivia,Sucre,🇧🇴
26,155,"Bonaire, Sint Eustatius and Saba",Kralendijk,🇧🇶
27,28,Bosnia and Herzegovina,Sarajevo,🇧🇦
28,29,Botswana,Gaborone,🇧🇼
29,30,Bouvet Island,,🇧🇻
30,31,Brazil,Brasilia,🇧🇷
31,32,British Indian Ocean Territory,Diego Garcia,🇮🇴
32,33,Brunei,Bandar Seri Begawan,🇧🇳
33,34,Bulgaria,Sofia,🇧🇬
34,35,Burkina Faso,Ouagadougou,🇧🇫
35,36,Burundi,Bujumbura,🇧🇮
36,37,Cambodia,Phnom Penh,🇰🇭
37,38,Cameroon,Yaounde,🇨🇲
38,39,Canada,Ottawa,🇨🇦
39,40,Cape Verde,Praia,🇨🇻
40,41,Cayman Islands,George Town,🇰🇾
41,42,Central African Republic,Bangui,🇨🇫
42,43,Chad,N'Djamena,🇹🇩
43,44,Chile,Santiago,🇨🇱
44,45,China,Beijing,🇨🇳
45,46,Christmas Island,Flying Fish Cove,🇨🇽
46,47,Cocos (Keeling) Islands,West Island,🇨🇨
47,48,Colombia,Bogotá,🇨🇴
48,49,Comoros,Moroni,🇰🇲
49,50,Congo,Brazzaville,🇨🇬
50,52,Cook Islands,Avarua,🇨🇰
51,53,Costa Rica,San Jose,🇨🇷
52,54,Cote D'Ivoire (Ivory Coast),Yamoussoukro,🇨🇮
53,55,Croatia,Zagreb,🇭🇷
54,56,Cuba,Havana,🇨🇺
55,249,Curaçao,Willemstad,🇨🇼
56,57,Cyprus,Nicosia,🇨🇾
57,58,Czech Republic,Prague,🇨🇿
58,51,Democratic Republic of the Congo,Kinshasa,🇨🇩
59,59,Denmark,Copenhagen,🇩🇰
60,60,Djibouti,Djibouti,🇩🇯
61,61,Dominica,Roseau,🇩🇲
62,62,Dominican Republic,Santo Domingo,🇩🇴
63,63,East Timor,Dili,🇹🇱
64,64,Ecuador,Quito,🇪🇨
65,65,Egypt,Cairo,🇪🇬
66,66,El Salvador,San Salvador,🇸🇻
67,67,Equatorial Guinea,Malabo,🇬🇶
68,68,Eritrea,Asmara,🇪🇷
69,69,Estonia,Tallinn,🇪🇪
70,70,Ethiopia,Addis Ababa,🇪🇹
71,71,Falkland Islands,Stanley,🇫🇰
72,72,Faroe Islands,Torshavn,🇫🇴
73,73,Fiji Islands,Suva,🇫🇯
74,74,Finland,Helsinki,🇫🇮
75,75,France,Paris,🇫🇷
76,76,French Guiana,Cayenne,🇬🇫
77,77,French Polynesia,Papeete,🇵🇫
78,78,French Southern Territories,Port-aux-Francais,🇹🇫
79,79,Gabon,Libreville,🇬🇦
80,80,Gambia The,Banjul,🇬🇲
81,81,Georgia,Tbilisi,🇬🇪
82,82,Germany,Berlin,🇩🇪
